,疾病名称,简介,挂号的科室
4051,类固醇5α-还原酶2缺乏综合征,雄激素在靶细胞作用过程的任何一个步骤发生异常都可引起雄激素的作用不能完全表达和男性假两性畸形。雄激素的作用过程包括睾酮被类固醇5alpha;-还原酶2还原为DHT，睾酮和DHT与雄激素受体(AR)的结合，雄激素mdash;受体复合物在激素反应元件的定位和转录等。雄激素抵抗综合征主要有2类，一...,内分泌科 生殖健康
4052,梨状肌综合征,本病是由于梨状肌压迫坐骨神经引起的坐骨神经痛。梨状肌起自骶骨的髂骨面，止于股骨大转子上缘。在奔跑或坐位时，梨状肌可以挤压从其下经过的坐骨神经。,骨科 外科
4053,坐骨直肠窝脓肿,肛管、直肠周围软组织内或其周围间隙内发生急性化脓性感染，并形成脓肿，称为肛管、直肠周围脓肿。其特点是自行破溃，或在手术切开引流后常形成肛瘘。是常见的肛管直肠疾病，也是肛管、直肠炎症病理过程的急性期，肛瘘是慢性期。常见的致病菌有大肠杆菌、金黄色葡萄球菌、链球菌和绿脓杆...,肛肠外科 外科
4054,骶骼筋膜脂肪疝,骶髂筋膜脂肪疝(sacro-illac facial lipocele)是指臀部脂肪经骶髂筋膜突出形成的一种疝，是引起腰腿痛的原因之一。女性多发，尤其肥胖的成年女性多发，男性相对少见。,普外科 内科
4055,婴儿臀部肉芽肿,婴儿臀部肉芽肿(Granuloma gluteale infantum)于1971年首先由Tappeiner等报道。,皮肤科 儿科
4056,髓内肿瘤,脊髓髓内肿瘤在脊髓肿瘤中并不少见，髓内肿瘤基本上分为两大类：一类为原发性髓内肿瘤;另一类为继发性髓内肿瘤。后者较少，常为颅内肿瘤向椎管内播散性肿瘤，如髓母细胞瘤、生殖细胞瘤，更少见有星形细胞瘤、多形性胶质母细胞瘤或第四脑室室管膜瘤等。原发于脊髓的胶质瘤向颅内播散者非...,骨科 肿瘤科
4057,小儿红白血病,红白血病(erythroleukemia)即Di Guglielmo综合征，又称急性红细胞骨髓病、急非淋白血病、红细胞增多症、红血性骨髓增生症等。本病是一种急性或慢性骨髓恶性增生性疾病。,儿科
4058,尤文肉瘤,尤文肉瘤(Ewings sarcoma)传统的概念认为系起源于骨髓的间充质结缔组织，以小圆细胞为主要结构的原发恶性骨肿瘤。现代的新概念是：起源神经外胚层的骨或软组织的小圆细胞肿瘤。,肿瘤科
4059,尺骨鹰嘴骨折,尺骨鹰嘴骨折是肘部常见损伤，成人多见。除少数尺骨鹰嘴尖端撕脱骨折外，大多数病例骨折线波及半月状关节面的关节内骨折。由于肘关节伸、屈肌的收缩作用，骨折很容易发生分离移位。因此，在治疗时，恢复其关节面的正常解剖对位和牢固固定早期活动关节是获得良好功能的重要措施。如果关节...,骨科
4060,腕舟骨骨折,腕骨分二排，舟骨靠近排桡侧，其状如舟，故其名。但不规则，背面狭长，粗糙不平，与桡骨形成关节。跌倒受伤时，掌心着地，舟骨首当其冲，受压于桡骨与头状骨之间，形成骨折。由于舟骨所处位置剪力大，血运不良，故难于愈合。舟骨骨折多见于青壮年。,骨科
4061,桡骨小头骨折,桡骨小头骨折是常见的肘部损伤，占全身骨折的0. 8%，约有l/3患者合并关节其它部位损伤。桡骨小头骨折是关节内骨折，如果有移位，理应切开复位内固定，恢复解剖位置，早期活动，以恢复肘关节伸屈和前臂旋转功能。,骨科
4062,桡骨、尺骨茎突骨折,本病很少见。摔倒时手掌着地，冲击力经舟状骨作用于桡骨下端而引起桡骨茎突的横骨折。亦有被直接撞击，如汽车摇把反击而致伤者。另外腕关节强力尺偏，桡侧副韧带强力牵拉，使桡骨茎突造成撕脱骨折。骨折块小，向远侧移位。尺骨茎突骨折常与韧带牵拉有关，往往与Colles骨折伴发，亦有单发...,骨科
4063,肱骨外髁骨折,肱骨外髁骨折主要是指肱骨外髁带肱骨小头或肱骨外髁带肱骨小头和部分滑车骨骺的关节内骨折。因其中部分患者仅单纯是肱骨小头骨骺部骨折，故又称为肱骨小头骨骺分离。肱骨外髁骨折比内髁骨折多见，是儿童常见的一种肘关节损伤，多见于5—10岁的儿童，发生率略低于肱骨髁上骨折。肱骨外髁...,骨科
4064,肱骨内上髁骨折,肱骨内上髁骨折是肘部损伤中最常见的一种，约占肘关节骨折的10%，仅次于肱骨髁上骨折与肱骨外髁骨折，占肘部损伤的第三位。骨折多发生在少年和儿童。这个年龄组，肱骨内上髁系属骨骺，尚未与肱骨下端融合，故易于撕脱，通称肱骨内上髁骨骺撕脱骨折。,骨科
4065,甲下外生骨疣,甲下外生骨疣(subungual exostosis)呈单发性纤维性和骨性结节，偶亦见于其他足趾端，特别是小趾。本病主要发生于12～30岁的女性。鞋子压迫可引起剧痛。诊断需靠X线拍片证实。,骨科
4066,肱骨内髁骨折,肱骨内髁骨折，好发生于儿童，较少见。波及范围包括内上髁与滑车的大部分，其损伤机理、类型与治疗方法与肱骨外髁骨折极相似，故二者形成相互对称的“影像”损伤。,骨科
4067,桡骨下端骨折,桡骨远端骨折极为常见，约占平时骨折的1/10。多见于老年妇女、儿童及青年。骨折发生在桡骨远端2～3cm范围内。常伴桡腕关节及下尺桡关节的损坏。,骨科
4068,尺骨下1/3骨折合并下尺桡关节脱位,1929年法国人称之为反孟氏骨折。1934年Galeazzi详细描述了这种损伤，此后即称为盖氏骨折。这种损伤的发生率较孟氏骨折高6倍。,骨科
4069,桡骨干下1/3骨折合并下尺桡关节脱位,桡骨中下1/3骨折合并下桡尺关节脱位称Galeazzi骨折。主要表现为前臂及腕部肿胀、疼痛，尺骨茎突突出。移位多者畸形明显，前臂旋转活动受限。,骨科
4070,桡骨颈骨折,桡骨颈骨折并不多见，常与桡骨头骨折伴发，亦可单发，二者之致伤机制及诊治要求均相似。,骨科
4071,先天性桡骨缺如,先天性桡骨缺如又称轴旁性桡侧半肢畸形或桡骨棒状手，是一种较少见的先天性畸形，但较尺骨缺如多见。发病常是双侧性，单侧亦不少见。男性患者较女性多，比例约为3∶2。在新生儿期就可发现患儿前臂向桡侧弯曲，大拇指转向内侧，与前臂成90deg;弯曲。,骨科
4072,肱骨小头骨折,肱骨小头骨折是少见的肘部损伤，约占肘部骨折的0.5%～1%。成人多发生单纯肱骨小头骨折，儿童则可发生合并有部分外髁骨折的肱骨小头骨折。该骨折易误诊为肱骨外髁或外上髁骨折。,骨科
4073,先天性桡骨小头脱位,先天性桡骨小头脱位很少见。主要是由于桡尺骨近端先天融合，前臂固定在一定角度上的旋前位畸形。双侧受累者占60%。男妇发病率无差别。,骨科
4074,桡骨小头骨骺分离,桡骨小头骨骺分离多因跌倒时肩关节外展，肘关节伸直并外翻，桡骨小头撞击肱骨小头引起的，常见于儿童肘部关节损伤。,骨科
4075,股骨颈骨折,股骨颈骨折是指由于骨质疏松、老年人髋周肌肉群退变、反应迟钝或遭受严重外伤所致的股骨颈断裂。股骨颈骨折常发生于老年人，随着人的寿命延长，其发病率日渐增高，尤其随着人口老龄化，已成为严重的社会问题。其临床治疗中存在骨折不愈合和股骨头缺血坏死两个主要难题。,骨科
4076,外伤性股骨头坏死,外伤性股骨头坏死是指因为外力撞击引起股骨颈骨折、髋关节脱位、髋关节扭挫伤等而导致股骨头坏死。随着交通事业和工业的迅速发展，股骨颈骨折发生率有明显上升趋势。统计资料显示，股骨头骨折引发的坏死率平均在25%-30%，其坏死的发生与许多因素有密切关系。　　外伤性股骨头坏死通常发...,骨科 外伤科
4077,酒精性股骨头坏死,酒精性股骨头坏死就是因为大量酗酒而引起的一种股骨头坏死。在酗酒的病人中，股骨头坏死的发生率明显高于一般人群。男性明显多于女性。酗酒(过量饮酒)的摄入量是一种股骨头坏死的病因已经得到证明，也就是说股骨头坏死的发生与否，与饮酒量和饮酒年限相关。饮酒时间超过10年以上的男性更...,骨科
4078,距骨骨折,距骨骨折与脱位是足部常见的损伤。其预后并不十分理想。必须了解其损伤机理及其解剖，才能取得满意的治疗效果。,骨科
4079,股骨骨折,股骨不容易骨折，骨折多为股骨干骨折，多由车祸强大暴力所致、或由高处坠落引起骨折。股骨干骨折，常会引起出血性休克。此外，因大腿肌肉丰富，骨折很易移位，这类骨折，应到医院找骨科大夫及时诊治。,骨科
4080,老年股骨头坏死,股骨头坏死的普遍性强，最多见于青壮年。但是老年股骨头坏死的发病率正在逐年的上升，老年股骨头坏死患者因其自身的免疫力低下，抵抗力差等等原因，预后比较差，所以老年股骨头坏死患者最好不要采用手术治疗，因为其创伤更大，更不易愈合。,
4081,儿童股骨头坏死,儿童股骨头坏死是指儿童股骨头在坏死、塌陷后，再经过一个缓慢的过程后股骨头坏死自行修复，一般为2-4年。此病也称为 Legg-Calve-Perthes病。儿童正处在身体快速发育阶段，发生股骨头坏死后，经过适当的治疗和锻炼，并控制股骨头不负重变形，股骨头坏死会在短时间内可完全康复。但是未能...,骨科
4082,特发性股骨头坏死,特发性股骨头坏死又称为缺血性股骨头坏死，是一种常见病，股骨头坏死的病因多种多样，但其共同的病理机制是骨组织缺血，所以关于发病机制、血供受阻理论最易被人接受。这种理论认为，由于各种骨内、外致病因素引起骨组织营养血流减少、骨内血管网受压或流出静脉阻塞，造成局部血供障碍，...,骨科 中医科
4083,老年人多发性骨髓瘤,多发性骨髓瘤是以克隆性浆细胞无节制增生为特点的恶性肿瘤，增生的浆细胞浸润及其所生成的产物(M-蛋白、肿瘤坏死因子、浆细胞因子等)引起一系列器官功能障碍。,血液科
4084,创伤性骨髓炎,创伤性骨髓炎主要指因火器伤、开放性骨折或切开复位内固定等对骨折断端或显露处的直接污染、感染而造成的骨髓炎。其特点是感染主要局限于骨折处，附近软组织亦同时呈现急性化脓性炎症状态。骨骼一旦污染及其后发展形成的感染，大多为慢性过程。　　受感染的骨端因无骨膜及血供而易坏死，...,骨科 外伤科
4085,老年人原发性骨髓纤维化,骨髓纤维化(myelofibrosis，MF)是一种骨髓增生性疾病，表现为骨髓弥漫性纤维组织增生，常伴有髓外造血，主要在脾脏，其次为肝脏和淋巴结。典型临床表现为幼粒-幼红细胞性贫血和脾脏显著肿大以及不同程度的骨质硬化。　　MF有原发性和继发性两大类。继发性MF有明显的原因，主要有CML、MDS...,血液科 老年科
4086,尺神经损伤,在腕部，尺神经易受切割伤。在手指及掌部，指神经易被割伤或挫伤。尺神经深支为运动支，有时可受刺伤或贯穿伤。在肘部，尺神经常受直接外伤或骨折脱臼合并损伤。严重肘外翻畸形及尺神经滑脱所引起的尺神经损伤，又称肘管综合征或慢性尺神经炎。全身麻醉时如不注意保护，使手悬垂于手术台...,骨科 手外科
4087,桡神经损伤,桡神经在肱骨中下1/3处贴近骨干，此处肱骨骨折时桡神经易受损伤。骨痂生长过多和桡骨头前脱位可压迫桡神经。手术不慎也可伤及此神经。　　桡神经由颈5～8与胸1神经根的纤维构成，系臂丛神经后束的继续。在上臂，桡神经出腋窝后从上臂内侧随肱深动脉经过肱三头肌长头与内侧头之间到上臂背...,骨科 手外科
4088,尺桡骨干骨折,桡尺骨双骨折甚常见，多发生青少年。尺桡骨双骨折可发生重迭、成角、旋转及侧方移位四种畸形：桡骨干单骨折较少见，因有尺骨支持，骨折端重迭，移位较少，主要发生旋转移位。尺骨干单骨折极少见，因有桡骨支持移位不明显，除非合并下尺桡关节脱位。,骨科
4089,腕舟状骨骨折,腕舟骨骨折比较常见，多发生青状年，常由间接暴力致伤。跌倒手掌触地，手腕强度背屈，轻微桡偏，桡骨背侧缘切断舟骨。,手外科 骨科
4090,继发性骨髓纤维化,继发性骨髓纤维化(secondary myelofibrosis)是指各种不同病因引起的一组骨髓造血组织纤维化而影响了造血功能的疾病。,血液科
4091,肱骨干骨折,肱骨干骨折(fracture of humeral shaft)系指肱骨外科颈以下1～2cm至肱骨髁上2cm之间的骨折，占全身骨折的1.31%。多发于骨干的中部，其次为下部，上部最少。中下1/3骨折易合并桡神经损伤，下1/3骨折易发生骨不连。,骨科
4092,手部肌腱损伤,手部肌腱损伤多为开放性，以切割伤较多，常合并指神经伤或骨折等，也可有闭合性撕裂。由于手内肌仍完整，掌指关节屈曲不受影响。,骨科 手外科
4093,肱骨骨折,肱骨骨折常发生于肱骨外科颈、肱骨干、肱骨髁上、肱骨髁间、肱骨外髁、肱骨内上髁。其中，尤以前三者为多，可发生于任何年龄，多由直接暴力和间接暴力所引起，如重物撞、挤压、打击及扑倒时，手或肘部着地，暴力经前臂或肘部传至各部位。X线检查可明确诊断，并提示骨折的类型。中医将肱...,骨科
4094,桡骨小头半脱位,1671年由Fournier首先描述。是婴幼儿常见的肘部损伤之一。发病年龄1-4岁，其中2-3岁发病率最高，占62.5％男孩比女孩多，左侧比右侧多。当肘关节伸直，前臂旋前位忽然受到纵向牵拉时容易引起桡骨小头半脱位。常见的是大人领患儿上台阶时，牵拉胳膊时出现。,骨科
4095,第一掌骨基部骨折,尺神经损伤后手的尺侧、小指全部、环指尺侧感觉均消失。尺神经深枝为运动枝，有时受刺伤或贯穿伤。在腕部，尺神经易受到割裂伤。在手指及掌部，尺神经浅支亦易受割裂伤。,骨科 手外科
4096,先天性尺桡骨融合,先天性尺桡骨融合系桡尺骨近端先天融合，前臂固定在一定角度上的旋前位少见畸形。双侧受累者占60％。男女发病率无差别。,骨科 儿科
4097,尺桡骨干双骨折,尺桡骨为前臂的两根长骨，尺骨位于前臂内侧，是较长骨，可分为一体两端。位于小手指的一侧，较易骨折。尺桡骨干双骨折可发生侧方移位、重叠、旋转、成角畸形，治疗较为复杂。不同形式的暴力所致骨折的类型亦不同，发生尺桡骨螺旋型双骨折。骨折线方向一致，多有尺骨内上斜向桡骨外下。,骨科
4098,先天性高肩胛症,本病为较少见的一种先天性畸形。特征是肩胛骨处于较高的位置，患侧肩关节高于健侧，患肢上臂上举活动受限，可同时合并有肋骨、颈、胸椎的畸形。1863年由Enlenber首先描述。1891年Sprengel报告4例，并讨论病因，故本病又称Sprengel畸形。,骨科 儿科
4099,肱骨远端全骺分离,初生婴儿的肱骨远端系由软骨组成，其后随年龄的增长而逐渐出现化骨中心，与干骺端之间为骺软骨板，在结构上较为薄弱，故幼儿时偶因外伤引起骨骺分离。其临床特点与肱骨髁上骨折相似，是髁上骨折发生在幼儿发育阶段的一种特殊类型，不常见。,骨科
4100,跟骨骨折,以足跟部剧烈疼痛，肿胀和瘀斑明显，足跟不能着地行走，跟骨压痛为主要表现的跟骨骨折。　　本病成年人较多发生，常由高处坠下或挤压致伤。经常伴有脊椎骨折，骨盆骨折，头、胸、腹伤，初诊时切勿遗误。跟骨为松质骨，血循供应比较丰富，骨不连者甚少见。但如骨折线进入关节面或复位不良...,骨科
4101,股骨干骨折,股骨是人体中最长的管状骨。股骨干包括粗隆下2～5cm至股骨髁上2～5cm的骨干。股骨干为三组肌肉所包围，其中伸肌群最大，由股神经支配;屈肌群次之，由坐骨神经支配;内收肌群最小，由闭孔神经支配。由于大腿的肌肉发达，骨折后多有错位及重叠。股骨干周围的外展肌群，与其它肌群相比其肌力...,骨科
4102,股骨粗隆间骨折,股骨转子间骨折多发生在66～76岁。女性发生率较男性高3倍。Griffin和Boyd对300例股骨转子间骨折的研究表明：伤后3个月内的病人病死率为16.7%，大约是股骨颈骨折病人病死率的2倍。如此高病死率的原因为病人年龄较大;造成骨折的创伤较重;骨折后失血量大;治疗手术相对较大。由此可见，转子...,骨科
4103,踝部骨折,踝关节和足部的骨折、脱位是骨科常见的损伤，踝关节的关节面比髋、膝关节的关节面小，担负但的重量与活动却很大，故易发生损伤。占全身骨折的3.83％。多见于青少年。,骨科
4104,腘窝囊肿,腘窝囊肿临床上多见于中年以上发病率最高，男性多于女性，导致机械性伸膝和屈膝受限，疼痛较轻，紧张膨胀感明显。患者主诉往往以腘窝区逐渐发生肿胀为特点，伴膝后疼痛。偶尔囊肿可以压迫阻碍静脉回流，引起小腿水肿。囊肿长大到一定程度则膝关节屈伸活动受限。,骨科
4105,腓骨近端骨折,大多数骨折常与胫骨上端或胫骨干骨折合并发生。但直接外力，可使腓骨头或颈骨折。骨折线可能是斜行或横行。断端移位较少见。,骨科
4106,激素性股骨头坏死,在临床工作中发现，大约有150～170种原发性疾病治疗中。都在使用激素。尤其是高达40%～60%的类风湿病人中，曾经用过或正在用激素;其他如青少年为治痤疮;中老年为治颈椎病、肩周炎、腰腿痛、坐骨神经痛、骨质增生等用激素封闭治疗;器官移植为抗排异反应而大量应用激素，甚至不明原因的高...,骨科
4107,先天性胫骨假关节,先天性胫骨假关节是先天性胫骨形成不良或失败的总称，有多种特定的类型，各型有其独立的病理、病程和预后。多见于胫骨中下1/3交界处，最终形成局部的假关节。男性发病率略高于女性，多为单侧，同侧腓骨也可累及。少数患者有遗传史。,骨科
4108,股骨头骨骺骨软骨病,股骨头骨骺骨软骨病属于继发性关节骨软骨病，其主要病因系某些因素引起的骨骺血管栓塞，以致骨骺内骨化中心的全部或部分坏死，并可伴有软骨内化骨紊乱。股骨头骨骺骨软骨病亦称儿童股骨头缺血性坏死，或Legg-Calvegrave;-Perthes病，由此三位学者于1910年分别描述，简称Perther病。本病...,骨科
4109,胫腓骨干骨折,胫腓骨干骨折在全身骨折中约占9.45％。10岁以下儿童尤为多见，其中以胫腓骨双骨折最多，占全身骨折的5.1％，胫骨次之，占全身骨折的3.85％。腓骨干骨折最少占全身骨折的0.59％。治疗虽较容易，且多无明显的功能障碍，但如果处理不当，者可能出现感染、迟缓愈合或不愈合等并发症，甚至有...,骨科
4110,股骨髁骨折,股骨髁骨折占全身骨折的0.4%，但其疗效却不满意。股骨髁周围有关节囊、韧带、肌肉及肌腱附着。骨折块受这些组织的牵拉，不易复位也不易维持复位。股骨髁骨折，可并发腘动脉、神经及其周围软组织的广泛损伤。在伴有相邻支持结构如侧副韧带、交叉韧带损伤时，可造成膝关节不稳定，也因股四...,骨科
4111,小儿弓形腿综合征,弓形腿综合征即胫骨畸形-骨软骨病，又称Blount-Barber综合征、Blount胫骨综合征、Blount病、Erlacher-Blount综合征、胫骨内髁无菌性坏死、胫骨内翻-胫骨畸形性骨软骨病、内侧或外侧性骨软骨病，非佝偻病性弓形腿(Bowlegs without rickets)、胫内翻综合征等。系胫骨近端内侧骺板受负重压...,儿科 骨科
4112,胫骨内髁骨软骨病,胫骨内髁骨软骨病，又称胫骨内翻或Blount病。是指胫骨内髁软骨发育不良而产生的膝内翻畸形。,骨科 儿科
4113,股骨大粗隆结核,股骨大粗隆位于体表，易受慢性创伤，局部松质骨又多，故股骨大粗隆结核较为常见，占全身骨关节结核1.59％，多见于20～40岁青壮年。10岁以下极为少见。,骨科
4114,先天性颈椎齿状突畸形,齿状突由两倍分软骨构成，如软骨化不能完成，则出现齿状突畸形。先在性齿状突畸形可引起寰枢纽椎的不稳定并导致脊髓损伤，甚至死亡。,骨科
4115,胫骨髁骨折,胫骨髁骨折，约占全身骨折中的0.38％。是较为常见的骨折。好发于青壮年。男性患者多于女性。胫骨髁骨折又较内髁骨折多见。胫骨髁骨折为关节内骨折，骨折波及胫骨近端关节面。严重者还可合并有半月板及关节韧带损伤。因此胫骨髁骨折，容易引起膝关节的功能障碍。为了获得最大限度的恢复功...,骨科
4116,足底筋膜炎,足底筋膜炎是足底的肌腱或者筋膜发生无菌性炎症所致。最常见症状是脚跟的疼痛与不适，压痛点常在足底近足跟处，有时压痛较剧烈，且持续存在。晨起时疼痛感觉明显，行走过度时疼痛感加剧，严重患者甚至站立休息时也有疼痛感。足底筋膜炎是运动引起的慢性损伤，过度训练也可导致跟骨疼痛，...,骨科 外科
4117,胫骨结节骨软骨病,"本病又称胫骨结节骨骺炎或骨软骨炎、无菌性坏死、牵引性骨骺炎,是一种少年的疾患，患儿的胫骨结节变大伴疼痛。1903年，Osgood首先报道了一些胫骨结节部分撕脱的病例，不久，Schlatter又提出本病是胫骨上端骨骺的舌状下垂部分的骨骺炎，故本病亦称Osgood-Schlatter病。",骨科
4118,风湿性关节炎,风湿性关节炎属变态反应性疾病，是风湿热的主要表现之一。多以急性发热及关节疼痛起病，典型表现是轻度或中度发热，游走性多关节炎，受累关节多为膝、踝、肩、肘、腕等大关节，常见由一个关节转移至另一个关节，病变局部呈现红、肿、灼热、剧痛，部分病人也有几个关节同时发病，不典型的...,风湿科 骨科
4119,骨关节炎,"骨关节炎(osteoarthritis,OA)又称为骨关节病，退行性关节病和骨质增生，是一种最常见的关节疾病。该病不仅发生关节软骨损害，还累及整个关节，包括软骨下骨、韧带、关节囊、滑膜和关节周围肌肉，最终发生关节软骨退变、纤维化、断裂、溃疡及整个关节面的损害。典型的临床表现包括疼痛，僵硬...",风湿科 骨科
4120,鼠标手,“鼠标手”通俗而狭义的讲就是“腕管综合症”，是指人体的正中神经、以及进入手部的血管，在腕管处受到压迫所产生的症状，主要会导致食指和中指僵硬疼痛、麻木与拇指肌肉无力感。现代越来越多的人每天长时间的接触、使用电脑，这些上网族多数每天重复着在键盘上打字和移动鼠标，手腕关节...,骨科 手外科
4121,腱鞘囊肿,腱鞘囊肿(thecal cyst)是腕背侧最常见的一种肿块，身体其他部位的关节囊、腱鞘上也可发生。,骨科 中医科
4122,痛风性关节炎,痛风性关节炎是由于尿酸盐沉积在关节囊、滑囊、软骨、骨质和其他组织中而引起病损及炎性反应，它多有遗传因素和家族因素，好发于40岁以上的男性，多见于拇趾的跖趾关节，也可发生于其他较大关节，尤其是踝部与足部关节。主要表现为关节的剧痛，常常为单侧性突然发生。关节周围组织有明显...,骨科
4123,滑囊炎,滑囊炎是指滑囊的急性或慢性炎症。滑囊是结缔组织中的囊状间隙，是由内皮细胞组成的封闭性囊，内壁为滑膜，有少许滑液。少数与关节相通，位于关节附近的骨突与肌腱或肌肉、皮肤之间。凡摩擦力或压力较大的地方，都可有滑囊存在，其作用主要是有利于滑动，从而减轻或避免关节附近的骨隆突...,骨科 外科
4124,踝关节扭伤,在外力作用下，关节骤然向一侧活动而超过其正常活动度时，引起关节周围软组织如关节囊、韧带、肌腱等发生撕裂伤，称为关节扭伤。轻者仅有部分韧带纤维撕裂、重者可使韧带完全断裂或韧带及关节囊附着处的骨质撕脱，甚至发生关节脱位。关节扭伤日常最为常见，其中以踝关节最多，其次为膝关...,骨科
4125,骨关节病,骨关节病是一种以局部关节软骨退变，骨质丢失，关节边缘骨刺形成及关节畸形和软骨下骨质致密为特征的慢性关节疾病，又称骨关节炎，退行性骨关节病，增生性关节炎，老年性关节炎。好发于50岁以上人群，女性多于男性，不同程度的影响中老年患者的生活质量。,骨科
4126,髋关节脱位,本病是一种严重损伤，因为髋关节结构稳固，必须有强大的外力才能引起脱位。在脱位的同时软组织损伤亦较严重。且常合并其它部位或多发损伤。因此患者多为活动很强的青壮年。一般分为前、后及中心脱位3种类型。脱位后股骨头位于Nelaton线（髂骨前上棘与坐骨结节连线）之前者为前脱位。脱位...,骨科 中医科
4127,脱臼,关节脱位(dislocation of joints)是指组成关节的各骨的关节面失去正常的对应关系。临床上可分损伤性脱位、先天性脱位及病理性脱位。 关节脱位后，关节囊、韧带、关节软骨及肌肉等软组织也有损伤，另外关节周围肿胀，可有血肿，若不及时复位，血肿机化，关节粘连，使关节不同程度丧失功能...,骨科 中医科
4128,膝关节创伤性滑膜炎,膝关节是全身关节中滑膜面积最大的关节，滑膜反应也最明显。膝关节创伤性滑膜炎是指膝关节囊纤维的内衬滑膜在外伤后引起的滑膜非感染性炎症反应。临床上分为急性创伤性炎症和慢性劳损性炎症两种。若确诊为本病应积极治疗，防止膝关节功能障碍。,骨科
4129,创伤性关节炎,创伤性关节炎又称外伤性关节炎、损伤性骨关节炎，它是由创伤引起的以关节软骨的退化变性和继发的软骨增生、骨化为主要病理变化，以关节疼痛、活动功能障碍为主要临床表现的一种疾病。,骨科 中医科
4130,大骨节病,卡斯钦-贝克病(Kaschin-Beck disease)即大骨节病，是一种地方性软骨骨关节畸形病，是以软骨坏死为主的变形性骨关节病。多发生于儿童和少年，主要侵犯儿童和青少年的骨骼与关节系统，导致软骨内成骨障碍、管状骨变短和继发的变形性关节病。致管状长骨发育障碍，关节增粗、疼痛、肌肉松弛...,风湿科 骨科
4131,老年人骨关节炎,骨关节炎(Osteoarthritis，OA)曾称为增生性关节炎，退化性关节炎，骨关节病等。它是一种以软骨退性和(或)关节边缘骨质增生为特点的老人多发的滑膜关节病，临床表现为关节痛，僵和功能障碍，通常认为是非炎症性关节病，实际上久病关节也可出现滑膜炎。,骨科 老年科
4132,癌肿性关节炎,癌肿性关节炎的临床症状和类风湿关节炎相似，可发生于任何类型的癌瘤患者，但特别好发于支气管肺癌、前列腺癌和乳腺癌。早期发现原发病灶，进行治疗是很重要的。,肿瘤科 骨科
4133,肩关节脱位,肩关节脱位最常见，约占全身关节脱位的50％，这与肩关节的解剖和生理特点有关，如肱骨头大，关节盂浅而小，关节囊松弛，其前下方组织薄弱，关节活动范围大，遭受外力的机会多等。肩关节脱位多发生在青壮年、男性较多。,骨科
4134,化脓性关节炎,化脓性细菌引起的关节内感染，称为化脓性关节炎(suppurative arthritis)，儿童较多见，常为败血症的并发症，也可因手术感染、关节外伤性感染、关节火器伤等所致。关节内注射类固醇等药物，无菌要求不严易发生感染。最常受累的部位为膝、髋关节，其次为肘、肩和踝关节。,骨科 中西医结合科
4135,复发性风湿病,复发性风湿病又名发作性风湿症、Hench-Rosenberg综合征、Hench综合征和复发性风湿症。其特点是急性关节炎和关节周围炎反复发作，发作间歇期内无任何症状。初次发病多见于30～60岁，偶尔亦可在儿童期发病。同一家族中可有多人发病。男女发病机会均等。,风湿科 骨科
4136,风湿寒性关节痛,特发性关节痛综合征(idiopathic arthralgia syndrome，IAS)是原因未明，以风、寒、湿环境因素及体力负荷为主要危险因子，以膝、腰椎等多关节疼痛为主要临床表现，体格检查及实验室检查无异常所见的一种良性风湿性综合征，亦有将之称为风湿痛症或良性关节痛，或不明原因关节痛。,骨科 中医科
4137,老年人类风湿性关节炎,类风湿关节炎(rheumatoid arthritis，RA)是以对称性，进行性及侵蚀性的多关节炎，主要累及手足小关节，表现为关节疼痛、肿胀和功能障碍，病情迁延反复。是一种以关节滑膜炎症为特征的慢性全身性自身免疫性疾病。主要的病理变化为关节滑膜的慢性炎症，血管翳形成，软骨和软骨下骨破坏，最...,风湿科 骨科
4138,骶髂关节结核,"骶髂关节结核临床上并不多见，约占全身骨关节结核的8% 。早期症状及X 线征像不典型，同骶髂关节其他疾病有许多相似之处，易产生误诊。骶髂关节结核作为全身结核感染的局部表现,近年来又逐渐被人们所重视。",骨科 传染科
4139,髋关节结核,髋关节结核在全身骨关节结核中约占7.20%，仅次于脊椎结核而居第二位。多见于儿童和青壮年，男性多于女性。7%-10%病例可见同时患骶髂关节结核或下段腰锥结核。,骨科 中医科
4140,绝经期关节炎,绝经期关节炎是女性更年期综合征的表现之一。女性更年期综合征(menonpausal syndrome)是指女性由于性腺发生退行性改变，包括更年前期因手术切除双侧卵巢或放射治疗后破坏双侧卵巢致使下丘脑-垂体-性腺轴之间的平衡制约关系紊乱，进而导致一系列全身性的病理变化，临床以精神症状、自主神...,骨科
4141,Poncet综合征,Poncet综合征(Poncet syndrome)又称结核风湿症、结核变态反应性关节炎等，是由于结核杆菌毒素引起的细胞介导的过敏性免疫反应。,传染科 风湿科
4142,假痛风性关节炎,本病为二羟焦磷酸钙结晶沉积引起的临床表现多样化的关节病，包括间歇性发作的急性关节炎；退引性关节病，有时病情严重，有时没有症状，X线检查可在特定部位见到关节软骨钙质沉着的影像。,骨科
4143,湿痹,病证名。风寒湿三气合而致病，以湿邪为主，表现肢体疼生酸困、病处不移的一类痹证。《素问·痹论》：“风气胜者为行痹，寒气胜者为痛痹，湿气胜者为著痹也。”　 《素问·痹论》：“风气胜者为行痹，寒气胜者为痛痹，湿气胜者为著痹也。”　　中医还认为，湿邪重浊，故外感湿邪后多有身...,中医科
