,疾病名称,多发人群
4170,小儿白血病,3-7岁儿童
4171,低钙血症,甲状旁腺功能异常及老年人多见
4172,维生素B12缺乏所致贫血,维生素B12缺乏者多见
4173,高钙血症,原发性甲状旁腺功能亢进者多见
4174,慢性白血病,中老年人居多
4175,弥散性血管内凝血,感染性疾病和恶性疾病多发
4176,结节性血管炎,20～40岁的青壮年，女性多于男性
4177,维生素K缺乏病,所有人群
4178,小儿低血糖,所有幼儿
4179,类白血病反应,儿童及青少年较多见，男女发病率无差别。
4180,嗜酸性细胞增多症,有过敏以及呼吸道和皮肤疾病者较为多见
4181,上肢深静脉血栓形成,中老年人群
4182,低镁血症,所有人群
4183,老年人低钾血症,拉肚子、进食困难的老年人多见
4184,老年性紫癜,多见于60岁以上的男性或女性
4185,慢性肉芽肿病,多见儿童
4186,老年人败血症,
4187,母儿血型不合溶血病,孕妇和胎儿的血型不合出血的新生儿多见
4188,老年人低血糖昏迷,
4189,遗传性血管性水肿,成年早期
4190,先天性动静脉瘘,所有人群
4191,樱桃状血管瘤,在成年早期即可开始出现
4192,丛状血管瘤,婴幼儿
4193,老年人急性淋巴细胞白血病,多发于30~70岁中老年人
4194,腹主动脉血栓形成综合征,老年人
4195,家族性混合型高脂血症,60岁以下患有冠心病的患者中
4196,巨细胞动脉炎,50岁以上患者
4197,老年人糖尿病性心脏病,老年糖尿病患者
4198,老年人骨髓增生异常综合征,老年人群
4199,高原红细胞增多症,多见于高原移居人群，少见于高原世居人群，男性发病率明显高于女性
4200,右室心肌梗死,老年人
4201,输血后血小板减少性紫癜,所有人群
4202,老年人原发性血小板增多症,老年人群
4203,老年人低钙血症,老年人
4204,高脂蛋白血症Ⅰ型,所有人群
4205,脓毒症和菌血症,所有人群
4206,腹主动脉动脉瘤破裂,所有人群
4207,锁骨下动脉-腋动脉瘤,多见于青年女性
4208,感染性疾病所致贫血,所有人群
4209,小儿葡萄糖-6-磷酸脱氢酶缺乏症,小儿，男性
4210,消化系癌伴血液病综合征,所有人群
4211,神经棘红细胞增多症,见于青春期或成年早期，发病年龄8～62岁
4212,同种免疫性新生儿血小板减少性紫癜,新生儿
4213,轻链病与轻链沉积病,本病多发于中、老年人(>45岁)
4214,分流性高胆红素血症综合征,男女均可罹患，10～20岁发病
4215,高脂蛋白血症Ⅳ型,美国的男性中多见
4216,血友病乙,所有人群
4217,老年人高钙血症,维生素D作用过强、噻嗪类利尿药长期使用者多见
4218,妊娠合并再生障碍性贫血,成年
4219,小儿假性粒细胞减少症,儿童多见
4220,高脂蛋白血症Ⅲ型,成年人
4221,Ⅱ型免疫母细胞性淋巴腺病,所有人群
4222,冷凝集素综合征,多见于女性及老年
4223,获得性血友病,所有人群
4224,铅中毒引起的溶血性贫血,所有人群
4225,后天性动静脉瘘,所有人群
4226,泛发性特发性毛细血管扩张,多发生于40～50岁女性
4227,药物相关性免疫性溶血性贫血,所有人群
4228,小儿急性髓样白血病,儿童人群
4229,先天性主动脉弓畸形,婴幼儿
4230,先天性纯红细胞再生障碍性贫血,婴幼儿、儿童
4231,绿脓假单胞菌属感染,所有人群
4232,先天性主动脉瓣窦动脉瘤破裂,本病发病年龄多数在20～40岁之间
4233,动脉损伤,所有人群
4234,阵发性冷性血红蛋白尿,所有人群
4235,行军性血红蛋白尿,所有人群
4236,小儿巨幼细胞性贫血,多见于婴儿.儿童
4237,遗传性凝血酶原缺乏,所有人群
4238,小儿血栓性血小板减少性紫癜,儿童
4239,小儿家族性非溶血性黄疸综合征,遗传性疾病
4240,血红蛋白E病,所有人群
4241,妊娠合并血栓性疾病,孕妇
4242,小儿血小板无力症,儿童
4243,老年人播散性血管内凝血,老年人
4244,白细胞减少症,所有人群
4245,小儿先天性红细胞生成异常性贫血,儿童
4246,小儿白细胞黏附分子缺陷Ⅰ型,儿童
4247,遗传性凝血因子Ⅴ缺乏症,先天遗传
4248,小儿下腔静脉阻塞综合征,婴幼儿
4249,小儿血管性血友病,儿童
4250,创伤性心源性溶血性贫血,所有人群
4251,小儿血小板释放功能缺陷性疾患,小儿
4252,δ-贮存池病,任何年龄组均可发病
4253,砷化氢引起的溶血性贫血,所有人群
4254,小儿药物诱发的溶血性贫血,小儿
4255,己糖激酶缺乏症,新生儿
4256,小儿雅克什综合征,婴幼儿
4257,遗传性凝血因子ⅩⅢ缺乏,儿童期
4258,小儿播散性血管内凝血,小儿
4259,遗传性粪卟啉病,所有人群
4260,遗传性凝血因子Ⅹ缺乏,均可发病
4261,鄂木斯克出血热,所有人群
4262,获得性循坏抗凝物质增多综合征,所有人
4263,婴儿瘤血管,新生儿
4264,系统性红斑狼疮,15～40岁女性
4265,自身免疫性疾病,所有人群
4266,糖尿病并发泌尿系感染,糖尿病患者多发
4267,高镁血症,中老年人
4268,血证,所有人群
4269,老年人血栓性疾病,老年人
4270,血厥,妇人多有之
4271,妊娠合并特发性血小板减少性紫癜,孕妇
4272,继发性红细胞增多症,所有人群
4273,强酸、强碱中毒,所有人群
4274,赤白游风,所有人群
4275,急性腹型-高脂血症综合征,所有人群
4276,Rh血型不合溶血病,母新是RH阴性血的新生儿多见
4277,颈部血管损伤,所有人群
4278,新生儿高血糖症,新生儿
4279,腹腔干动脉瘤,多发生于中年以上，目前男女发生比率趋于相等
4280,高脂蛋白血症Ⅱ型,常在20～50岁之间出现
4281,矫正型大动脉错位,先天遗传
4282,微血管病性溶血性贫血,本病在任何年龄都可发病，新生儿和90岁以上老年人均可发病，但发病高峰年龄是20～60岁，中位年龄35岁。
4283,丘疹性血管增生,老年人
4284,腹主动脉缩窄,所有人群
4285,温抗体型自身免疫性溶血性贫血,女性人群
4286,新生儿低钠血症,新生儿
4287,家族性异常β脂蛋白血症,所有人群
4288,疣状血管瘤,儿童好发
4289,不稳定血红蛋白病,所有人群
4290,铜中毒引起的溶血性贫血,所有人群
4291,小儿低钠血症,儿童
4292,梭形细胞血管内皮细胞瘤,所有人群
4293,小儿血管瘤血小板减少综合征,多见于乳幼儿，一般在生后5周内发病
4294,小儿出血性疾病,所有幼儿可见
4295,血管内乳头状血管内皮细胞瘤,儿童
4296,小儿纯红细胞再生障碍性贫血,儿童人群
4297,巨大血小板病,所有人群
4298,老年人真性红细胞增多症,任何人都可发病，以老年人及居住高原者居多
4299,绿猴病,所有人群
4300,髓细胞白血病,成年人群
4301,小儿铁粒幼红细胞性贫血,所有人群均可发病
4302,腹直肌鞘内血肿,所有人群
4303,妊娠合并巨幼红细胞性贫血,一般常见于30岁左右，经产妇多于初产妇，多胎多于单胎，25%病人在下次妊娠时易再发。
4304,高脂蛋白血症Ⅴ型,多在成人发病
4305,镰状细胞病,杂合子有镰状细胞者
4306,遗传性血色病,有此疾病家族病史者
4307,小儿骨髓增生异常综合征,可见于婴儿到青春期的任何年龄段
4308,小儿成人型慢性粒细胞白血病,所有人群
4309,血小板促凝活性异常,成年人、妇女、常牙痛者
4310,遗传性高铁血红蛋白血症,所有人群
4311,小儿遗传性球形红细胞增多症,儿童
4312,血红蛋白M病,儿童
4313,获得性高脂蛋白血症,所有人群
4314,系统性血管炎所致神经损害,所有人群
4315,小儿巨大血小板综合征,儿童人群
4316,葡萄糖磷酸异构酶缺乏症,所有人
4317,先天性无转铁蛋白血症,常染色体隐性遗传人群
4318,原卟啉病,男性发病约为女性的2倍多，多在儿童期和青年期发病
4319,硫化血红蛋白血症,所有人群
4320,小儿遗传性口形细胞增多症,小儿
4321,小儿遗传性椭圆形红细胞增多症,小儿
4322,功能性低血糖,中年女性
4323,红斑狼疮,所有人群
4324,干燥综合征,40岁到50岁
4325,迪格奥尔格综合征,婴幼儿
4326,慢性黏膜皮肤念珠菌病,婴儿
4327,联合免疫缺陷病,儿童
4328,狼疮样综合征,中年以上男性
4329,腹壁坏死性筋膜炎,所有人群
4330,选择性IgA缺乏症,所有人群
4331,小儿X-连锁淋巴组织增生性疾病,多发生于5～17岁
4332,小儿普通易变型免疫缺陷,所有人群均可发病
4333,小儿多发性硬化,儿童多见
4334,肌营养不良症,男性患病，女性携带，在幼儿期发病
4335,儿童急性良性肌炎,儿童
4336,纤维肌痛症,所有人群
4337,纤维瘤病,30～50岁，儿童和青少年也不少见
4338,小儿先天性斜颈,婴幼儿
4339,重症肌无力样综合征,婴儿、儿童、成人
4340,盆底痉挛综合症,女性多见，男女之比约为1:2
4341,先天性肌强直,多数患者在婴儿期发病
4342,小儿假肥大型肌营养不良,儿童
4343,非梭状芽胞杆菌肌坏死,所有人群
4344,小儿进行性骨化性肌炎,6岁以下儿童
4345,小儿软组织肉瘤,多见于5岁以下儿童
4346,家族性红细胞增多症,所有人群
4347,丙酮酸激酶缺乏症,所有人群
4348,急性间歇性卟啉病,所有人群
4349,老年人呼吸性酸中毒,肺炎及老慢支患者
4350,炎症性腹主动脉瘤,青年男性人群
4351,先天性白细胞颗粒异常综合征,近亲结婚的后代
4352,天冬氨酰葡萄糖胺尿症,所有人群
4353,老年人高钠血症,老年人
4354,老年人霍奇金淋巴瘤,老年人多发
4355,新生儿弥散性血管内凝血,新生儿
4356,血红蛋白D病,所有人群
4357,小儿白细胞黏附分子缺陷Ⅱ型,儿童
4358,小儿肝素-血小板减少-血栓形成综合征,儿童人群
4359,感染性腹主动脉瘤,所有人群
4360,新生儿低镁血症,新生儿
4361,先天性红细胞膜病,所有人群
4362,遗传性凝血因子Ⅶ缺乏,所有人群
4363,原发性高脂蛋白血症与黄瘤增生病,先天代谢病或原基础疾病继发
4364,嘧啶5′-核苷酸缺乏症,遗传患者
4365,先天性性联无γ-球蛋白血症,家族病史 均为男性
4366,科罗拉多蜱热,所有人群
4367,夸赛纳森林病,所有人群
4368,遗传性干瘪红细胞增多症,所有人
4369,结缔组织病,所有人群
4370,糖尿病并结核病,中老年
4371,原发性免疫缺陷病,婴幼儿
4372,抗磷脂抗体综合征,以女性更为常见（男女之比约为2∶3）发病年龄为8个月至16岁（平均为10岁）。
4373,干燥综合征神经系统损害,发病年龄多在40岁～50岁。也见于儿童。
4374,抗体免疫缺陷病,先天遗传患者
4375,小儿原发性免疫缺陷病,婴幼儿
4376,免疫缺陷病,所有人群
4377,异常γ-球蛋白血症,所有人群
4378,遗传性补体缺陷病,成年人
4379,遗传代谢病,新生儿
4380,肌张力障碍,5~15岁，有家族史者
4381,气性坏疽,成年人
4382,腹壁硬纤维瘤,所有人群尤以30～50岁有妊娠生育史的女性及有腹部手术史或腹壁外伤史者多见
4383,多发性肌炎-皮肌炎,儿童和成人多见，女性多于男性
4384,多巴反应性肌张力障碍,儿童或青少年的遗传性疾病
4385,多肌腱末端病,男性明显居多
4386,外伤性骨化性肌炎,多见于30岁以前
4387,西伯利亚立克次体斑疹热,所有人群
4388,不安腿综合征,中老年人，女性多于男性
4389,神经痛疾病,多发于中老年
4390,周围神经损伤,多见于外伤者，中青年多发
4391,球麻痹,中老年人
4392,酒中毒性周围神经病,长期大量饮酒者
4393,遗传性压力易感性周围神经病,所有人群
4394,胸长神经卡压症,颈5神经根受卡压者
4395,淀粉样变性周围神经病,所有人群
4396,伤口肉毒症,有外伤者
4397,肩周炎,所有人群，一般都是办公的人。
4398,背部弹力纤维瘤,老年妇女
4399,肘关节骨化肌炎,所有人群
4400,肘关节结核,青壮年
4401,先天性肘关节融合,婴幼儿
4402,药物性狼疮,所有人群
4403,血清病和血清病样反应,所有人群
4404,严重联合免疫缺陷病,儿童
4405,小儿选择性免疫球蛋白A缺乏症,儿童
4406,小儿软骨毛发发育不良综合征,12岁以下儿童
4407,油性肉芽肿,任何人群
4408,尼兹诺夫综合征,婴幼儿
4409,风湿性多肌痛,无特殊发病群体
4410,肌张力异常,儿童型（12岁以前）、少年型（13～20岁）和成人型（20岁以后）
4411,背痈,糖尿病人
4412,平滑肌瘤,中年人
4413,肉痉,成年男性
4414,老年挛缩,老年人
4415,酒精中毒性肌病,所有人群
4416,半月线疝,所有人群
4417,流注,成年人
4418,阿根廷出血热,所有人群
4419,腹壁间疝,所有人群
4420,先天性副肌强直症,所有人群
4421,小儿先天性肌强直综合征,儿童
4422,小儿先天性面肌双瘫综合征,新生儿
4423,小儿面肩肱型肌营养不良,儿童
4424,小儿尤因肉瘤,儿童
4425,腹直肌自发性破裂,所有人群
4426,喉返神经损伤,颈部外伤或者手术
4427,副神经损伤,所有人群
4428,先天性肌缺如,婴幼儿
4429,肉痹,可见于任何年龄，但以中年以上女性较多
4430,植物神经紊乱,压力较大、生活没有规律的人群多见
4431,肋间神经痛,有胸腔病变或带状疱疹者
4432,神经炎,所有人群
4433,臂丛神经痛,所有人群
4434,多发性末梢神经炎,有重金属（砷、汞、铅）接触史、糖尿病的患者
4435,前庭神经元炎,中老年人较多见
4436,正中神经损伤,所有人群
4437,喉上神经损伤,所有人群
4438,神经卡压综合征,好发年龄为30～60岁，女性为男性的5倍
4439,舌下神经损伤,所有人群
4440,灼性神经痛,青年、中年人群
4441,POEMS综合征,中位发病年龄51岁，男性多于女性
4442,舌咽神经损伤,所有人群
4443,神经纤维肉瘤,青年和中年
4444,颈部火器性异物,外伤史患者
4445,工业毒物中毒性周围神经病,所有人群
4446,麻风性周围神经病,所有人群
4447,带状疱疹后遗神经痛,50岁以上老年人
4448,神经根炎,所有人群
4449,腱鞘炎,中青年人群，经常做运动的人
4450,指节垫,家族遗传者
4451,伸指肌腱损伤,电锯工作者
4452,屈肌腱损伤,所有人群
4453,药物反应性甲病,正在用大剂量氯唑西林和头孢噻啶人群
4454,手腕腱鞘炎,教师，打字员
4455,腰腿痛,所有人群，，在体力劳动者中发生率较高，如搬运工、井下矿工、木工和汽车司机等。
4456,姿态性腰腿痛,下肢先天或后天畸形的人
4457,颤证,中、老年，素体肝肾阴亏的人
4458,放射性周围神经病,所有人群
4459,药物中毒性周围神经病,所有人群
4460,颈神经背支卡压症,有外伤使者
4461,反射性神经障碍症,外伤所致
4462,小儿家族性自主神经失调综合征,遗传性疾病
4463,更年期失眠,中老年人
4464,多形性脂肪瘤,好发于中年以上男性
4465,旋转带肌腱炎,青壮年
4466,喙突胸小肌综合征,肌肉发达、矮胖、颈粗的青年人
4467,肱骨内上髁炎,钳工、木工、中老年人、手工劳动者、网球运动员
4468,网球肘,青壮年、运动员
4469,肘外翻,儿童
4470,肘关节强直,所有人群
4471,特发性震颤,20~30岁和50~60岁这两个年龄段多发
4472,阿洪病,所有人群
4473,脆甲症,所有人群
4474,银屑病甲,银屑病患者
4475,化脓性甲沟炎,青壮年
4476,家族性黏液血管纤维瘤,家族史
4477,甲内型甲真菌病,所有人群
4478,手掌深部间隙感染,手部外伤患者
4479,掌侧化脓性腱鞘炎、滑囊炎和深间隙感染,所有人群
4480,指疔,所有人群
4481,筋瘤,长期站立工作者、怀孕妇女
4482,慢性单纯外伤性腰腿痛,30～40岁以后
4483,营养缺乏性神经病变,所有人群
4484,手汗症,青少年
4485,红斑性肢痛症,20～40岁青壮年、男性多于女性
4486,周围动脉栓塞,所有人群
4487,急性单纯外伤性腰腿痛,所有人群
4488,瓜藤缠,好发于青年女性
4489,急性化脓性腱鞘炎,经常用同一关节的人多见
4490,痉病,小儿
4491,婴儿纤维错构瘤,2岁以下儿童
4492,四肢不用,所有人群
4493,断肢再植,所有人群
4494,非典型纤维黄色瘤,主要发生于50岁以上白人的头部或颈部曝光部。
4495,膀胱肿瘤,无特殊发病群体
4496,慢性膀胱炎,所有人群
4497,膀胱脱垂,有难产或尿道、阴道损伤史的妇女多见
4498,老年人膀胱癌,老年人
4499,膀胱结核,所有人群
4500,膀胱颈挛缩,先天性者多见于儿童
4501,膀胱瘘,妇女
4502,老年女性膀胱颈梗阻,老年女性
4503,膀胱气痛,女性人群
4504,结核性膀胱挛缩,所有人群
4505,妊娠合并急性膀胱炎,生育年龄妇女
4506,软化斑,最常见于有慢性尿路感染的中年妇女
4507,先天性膀胱颈挛缩,中年妇女
4508,非淋菌性尿道炎,成年人
4509,泌尿生殖系支原体感染,性活跃的人多见
4510,滴虫病,成年妇女，性活跃人群多见
4511,尿道肉阜,女性多见
4512,女性尿道癌,多见于老年妇女
4513,男性生殖系结核,20～40岁男性
4514,寄生虫性尿路感染,所有人群
4515,泌尿生殖系滴虫病,所有人群
4516,脐尿管囊肿,多在儿童期发现
4517,泌尿生殖系真菌病,所有人群
4518,单纯型尿路感染,女性极为常见
4519,后尿道瓣膜,儿童
4520,经行尿感,生育期女性
4521,尿路软斑症,所有人群
4522,尿道缺如及先天性尿道闭锁,先天患者
4523,会阴下降综合征,中老年，女性比男性为多，经产妇多见
4524,膀胱癌,年龄51～70岁
4525,尿失禁,无特殊发病群体，老年人
4526,急性膀胱炎,女孩和成年女性较多见
4527,湿热下注,中青年多见
4528,神经源性膀胱,成年人
4529,膀胱炎,中年女性，新婚女性
4530,膀胱结石,所有人群，
4531,儿童遗尿症,多发生于5～10岁儿童，男孩较多见。
4532,腺性膀胱炎,所有人群
4533,间质性膀胱炎,常发生于中年妇女
4534,膀胱湿热,女性
4535,膀胱憩室,所有人群
4536,膀胱损伤,所有人群
4537,膀胱腺癌,60岁以上老年人
4538,膀胱鳞状细胞癌,高发年龄在50岁～70岁
4539,膀胱咳,所有人群
4540,气性膀胱炎,所有人群
4541,重复膀胱,男性多于女性
4542,尿道结石,所有人群
4543,尿道癌,男性尿道癌大多数系40岁以上，女性尿道癌多见于中老年人
4544,急性尿道综合征,成年妇女或绝经妇女最常见
4545,妊娠期尿路感染,怀孕期妇女
4546,脐尿管瘘,新生儿、婴幼儿
4547,妇女咳嗽性遗尿,妇女
4548,急淋,儿童期（0～9岁）为发病高峰
4549,泌尿生殖系棘球蚴病,所有人群
4550,淋证,所有人群
4551,尿道憩室,以女性多见
4552,重复尿道,所有人群
4553,小儿后尿道瓣膜,儿童
4554,坐板疮,所有人群
4555,阴结,所有人群
4556,骨髓炎,所有人群
4557,小儿急性非淋巴细胞性白血病,婴幼儿
4558,急性血源性骨髓炎,儿童及青少年
4559,原发性骨髓纤维化,好发于中老年，大多在50～70岁间发病。但儿童甚至婴儿亦可见到。
4560,硬化性骨髓炎,较大的儿童及成人
4561,尼曼－匹克氏病,先天婴幼儿
4562,髓单核细胞白血病,所有人群
4563,反应性浆细胞增多症,所有人群
4564,小儿慢性骨髓炎,儿童人群
4565,硬化型骨髓炎,所有人群
4566,小儿急性血源性骨髓炎,小儿
4567,桡骨远端骨折,多见于老年妇女，青壮年发生均为外伤暴力较大者。
4568,肱骨髁上骨折,以小儿最多见，多发年龄为5～12岁
4569,女性膀胱颈梗阻,中老年妇女
4570,膀胱白斑病,40岁左右女性
4571,膀胱外翻,新生儿，男性
4572,绝经期尿失禁,绝经期女性
4573,脐尿管囊肿及脐尿管瘘,小儿
4574,膀胱平滑肌肉瘤,成年人群
4575,膀胱嗜铬细胞瘤,成年人
4576,胞痹,老人、久病体弱患者
4577,结核性膀胱自发破裂,所有人群
4578,膀胱不发育与发育不全,所有人群
4579,尿道炎,所有人群，多见于女性
4580,尿路梗阻,60岁以上的男性多见
4581,老年人尿路感染,老年人多发
4582,非特异性尿道炎,青年男性多见
4583,尿道黏膜脱垂,儿童和老年妇女
4584,癃闭,多见于中老年人
4585,尿道创伤,各自人群
4586,尿道结核,所有人群，主要发生在男性
4587,慢性尿道综合征,已婚的中青年女
4588,泌尿生殖系放线菌病,有与牛、马或牧草接触史以及牧区工作史；有慢性消耗病史。
4589,泌尿生殖系阿米巴病,所有人群
4590,雷凡斯坦综合征,所有人群
4591,会阴裂伤,女性（车祸、性生活过度激烈等尤为多见）
4592,子宫切除术后会阴疝,60岁以上的老年人
4593,粪瘘,妇女
4594,骶尾部畸胎瘤,先天性肿瘤
4595,新生儿尿布皮炎,新生儿
4596,小儿骶尾部畸胎瘤,新生儿
4597,泌尿生殖系血吸虫病,所有人群
4598,先天性巨尿道症,先天患者
4599,先天性前尿道瓣膜,所有人群
4600,会阴疝,女性
4601,类固醇5α-还原酶2缺乏综合征,男性人群
4602,梨状肌综合征,所有人群
4603,坐骨直肠窝脓肿,所有人群
4604,骶骼筋膜脂肪疝,中老年肥胖女性
4605,婴儿臀部肉芽肿,婴儿
4606,髓内肿瘤,男女发病率相近、主要是老年人常见
4607,幼年型粒-单核细胞白血病,幼年
4608,小儿红白血病,儿童人群
4609,尤文肉瘤,成年人
4610,尺骨鹰嘴骨折,成年人
4611,腕舟骨骨折,外伤者多发
4612,桡骨小头骨折,所有人群
4613,桡骨、尺骨茎突骨折,中老年人尤其以60岁以上老人多见
4614,肱骨外髁骨折,5—10岁儿童
4615,肱骨内上髁骨折,多发生在少年和儿童
4616,甲下外生骨疣,12～30岁的女性
4617,肱骨内髁骨折,儿童
4618,桡骨下端骨折,成年及老年人
4619,尺骨下1/3骨折合并下尺桡关节脱位,所有人群
4620,桡骨干下1/3骨折合并下尺桡关节脱位,外伤患者
4621,桡骨颈骨折,均可发病
4622,先天性桡骨缺如,婴儿
4623,肱骨小头骨折,儿童或成人
4624,先天性桡骨小头脱位,新生儿
4625,桡骨小头骨骺分离,儿童
4626,股骨颈骨折,老年女性
4627,外伤性股骨头坏死,所有人群
4628,酒精性股骨头坏死,所有人群
4629,距骨骨折,所有人群
4630,股骨骨折,意外受伤人群
4631,老年股骨头坏死,
4632,儿童股骨头坏死,2～12岁儿童
4633,特发性股骨头坏死,20-50 岁人群
4634,老年人多发性骨髓瘤,40岁以上，特别是60岁以上的老年人群。
4635,创伤性骨髓炎,多见于青壮年长骨骨干，尤以下肢为多
4636,老年人原发性骨髓纤维化,老年人多见
4637,尺神经损伤,青少年、老年群体
4638,桡神经损伤,外伤多见
4639,尺桡骨干骨折,所有人群
4640,腕舟状骨骨折,青壮年
4641,继发性骨髓纤维化,中老年人群
4642,肱骨干骨折,多见于青壮年
4643,手部肌腱损伤,外伤或长期手部活动的人多见
4644,肱骨骨折,意外受伤人群
4645,桡骨小头半脱位,婴幼儿，男孩比女孩多见
4646,第一掌骨基部骨折,所有人
4647,先天性尺桡骨融合,儿童
4648,尺桡骨干双骨折,所有人群
4649,先天性高肩胛症,婴幼儿、儿童
4650,肱骨远端全骺分离,儿童
4651,跟骨骨折,成年人较多见
4652,股骨干骨折,好发于青少年及老年人
4653,股骨粗隆间骨折,60岁以上老年人常见、女性多于男性
4654,踝部骨折,所有人群（以青壮年运动员为多）
4655,腘窝囊肿,先天性多见于儿童，后天性多见于中年以后
4656,腓骨近端骨折,所有人群
4657,激素性股骨头坏死,所有人群
4658,先天性胫骨假关节,小儿
4659,股骨头骨骺骨软骨病,儿童
4660,胫腓骨干骨折,10岁以下儿童
4661,股骨髁骨折,所有人群
4662,小儿弓形腿综合征,婴幼儿
4663,胫骨内髁骨软骨病,婴幼儿和青少年
4664,股骨大粗隆结核,多见于21-40岁患者
4665,先天性颈椎齿状突畸形,婴幼儿
4666,胫骨髁骨折,好发于青壮年
4667,足底筋膜炎,成年人
4668,胫骨结节骨软骨病,所有人群
4669,风湿性关节炎,除了儿童。其他人群的都有可能
4670,骨关节炎,中老年人 ，中年以后发病，发病率随增龄而增加
4671,鼠标手,发于30～50岁年龄，女性为男性的5倍。双侧发病者约占1/3～1/2，双侧发病者女∶男为9∶1。
4672,腱鞘囊肿,用手关节较多的人群多发，发生于任何年龄，多见于青年和中年，女性多于男性
4673,痛风性关节炎,40岁以上的男性
4674,滑囊炎,所有人群
4675,踝关节扭伤,儿童及成年人均可发生
4676,骨关节病,所有人群
4677,髋关节脱位,所有人群
4678,脱臼,所有人群
4679,膝关节创伤性滑膜炎,老年人
4680,创伤性关节炎,任何年龄组均可发病，但以青壮年多见
4681,大骨节病,以儿童和青少年多发
4682,老年人骨关节炎,老年人多见
4683,癌肿性关节炎,好发于50～65岁，男女发病率为2
4684,肩关节脱位,肩关节脱位多发生在青壮年、男性较多。
4685,化脓性关节炎,好发于儿童、老年体弱和慢性关节病患者，男性居多
4686,复发性风湿病,本病多见于30～60岁人群
4687,风湿寒性关节痛,所有人群
4688,老年人类风湿性关节炎,老年人
4689,骶髂关节结核,多发于15岁以上青壮年，女性较多
4690,髋关节结核,儿童和青壮年，男性多于女性
4691,绝经期关节炎,中老年女性
4692,Poncet综合征,所有人群
4693,假痛风性关节炎,30岁后的中老年人群
4694,湿痹,体虚年老者
4695,色素沉着绒毛结节性滑膜炎,青壮年人群
4696,色素绒毛结节性滑膜炎,20～40岁男性
4697,神经性关节病,常见于40～60岁，男∶女=3∶1。
4698,Marie-Bamberger综合征,中老年人、吸烟人群
4699,梅毒性关节炎,有梅毒者为主要好发人群发病于20～40岁。
4700,布氏菌病,人类普遍易感
4701,急性化脓性关节炎,常见于10岁左右儿童
4702,肩关节结核,青壮年
4703,人工关节置换术后关节感染,所有手术后的人群
4704,淋病性关节炎,淋病患者
4705,肥大性骨关节病,中老年
4706,幼年型类风湿病,年长儿或成年，男孩发病多
4707,腕关节结核,青壮年
4708,先天性多发性关节挛缩症,婴儿、儿童
4709,布氏杆菌性关节炎,所有人群
4710,骨质软化症与佝偻病,儿童
4711,焦磷酸钙沉积病,老年人
4712,非结核性分枝杆菌关节炎,免疫功能障碍者
4713,二水焦磷酸钙结晶沉积症,老年人女性
4714,真菌性关节炎,所有人群
4715,褐黄病,遗传患者通常于20～40岁出现症状。男女发病比例约2∶1。
4716,慢性创伤性滑囊炎,所有人群（中老年多见）
4717,镰状细胞贫血,所有人群
4718,小儿关节过度活动综合征,儿童（1-12岁）
4719,小儿急性化脓性关节炎,婴幼儿人群
4720,流痰,儿童及青年为多见
4721,颈椎双侧关节突关节脱位,所有人群
4722,非淋球菌性细菌性关节炎,多见于儿童
4723,褐黄病性关节炎,中青年
4724,松毛虫性骨关节炎,20-50岁的青壮年
4725,松毛虫性骨关节病,所有人群
4726,上干型胸廓出口综合征,有较长的颈肩痛病史者
4727,黏多糖贮积症Ⅲ型,一般在4～7岁发病，10岁时最严重
4728,小儿关节弯曲综合征,婴幼儿
4729,卡普兰综合征,所有人群
4730,环跳疽,儿童
4731,顽痹,体虚老年人
4732,透析性骨关节病,慢性透析病人
4733,淀粉样变病和淀粉样关节病,所有人群
4734,其他晶体性关节病,所有人群
4735,颈椎病,"中、老年人 ,40岁以上"
4736,腰椎间盘突出,20-50岁男性
4737,脊柱炎,多发于青年人
4738,第三腰椎横突综合征,成年人多常见
4739,脊柱裂,婴幼儿、儿童
4740,慢性腰背痛,长期坐位弯腰工作者、司机、教师、办公室职员、重体力劳动者
4741,颈椎管狭窄症,成年人群
4742,脊椎骨质增生,中老年人群
4743,脊柱侧凸,青少年人群
4744,急性颈椎间盘突出症,伏案工作者、中老年人、司机
4745,脊椎结核,40-60岁为高发年龄
4746,脊椎病,老年人群
4747,颈椎半脱位,颈椎遭受屈曲暴力者
4748,寰枢关节脱位,所有人群
4749,椎管内神经鞘瘤,40～60岁人群
4750,颈腰综合征,成年人
4751,棘间韧带损伤,办公室职员、体力劳动者、司机
4752,颈椎结核,儿童及青少年
4753,颈椎后纵韧带骨化症,50～60岁老人
4754,颈椎骨折脱位,所有人群
4755,单纯性脊柱结核,以儿童患者多见，30岁以上者的发病率明显下降
4756,棘上韧带损伤,青壮年
4757,胸、腰椎椎体单纯性、楔形压缩骨折,更年期女性
4758,颈椎过伸性损伤,多见于中老年
4759,胸椎结核椎旁脓肿穿入胸腔,儿童和老年均可见到，但以青壮年居多
4760,脊椎椎弓峡部裂,中老人
4761,第3腰椎横突过长畸形,好发于青壮年体力劳动者
4762,特发性脊柱侧凸,10～16岁年龄组的青少年，4～10岁的少儿组，3岁以内的儿童组
4763,胸、腰椎爆裂骨折,从事高空作业或者煤矿工作的人群，主要集中在青壮年
4764,齿状突发育畸形,所有人群
4765,椎管内脊膜瘤,多发于50岁～70岁之间
4766,单侧关节突关节脱位,所有人群
4767,脊椎外伤,所有人群
